OTU	Mix2	Mix4	Mix5	Mix6	Mix8
seq313	1	2	0	0	0
seq3132	0	0	1	0	1
seq3136	0	0	2	0	0
seq3140	0	0	1	1	0
seq3159	0	2	1	1	0
seq3165	0	1	2	0	0
seq3166	0	0	1	1	0
seq3169	0	0	3	0	1
seq3171	0	1	1	0	0
seq3172	0	1	1	0	0
seq3178	0	1	1	0	0
seq3180	0	2	1	0	0
seq3182	0	0	2	0	0
seq3185	0	2	1	0	1
seq3186	0	0	1	0	2
seq3187	0	0	2	0	0
seq319	1	1	1	0	1
seq3198	0	0	1	0	1
seq3204	0	1	1	0	0
seq3206	0	0	1	0	1
seq3207	0	0	1	1	0
seq3213	0	0	1	2	2
seq3215	0	5	1	1	0
seq3217	0	0	1	0	2
seq3218	0	1	1	0	0
seq322	2	2	0	0	0
seq3224	0	2	1	0	0
seq3230	0	1	1	1	0
seq3236	0	2	2	0	0
seq3250	0	1	1	0	0
seq3252	0	0	1	1	0
seq3269	0	0	2	0	0
seq327	3	0	0	0	0
seq3270	0	0	4	1	0
seq328	2	2	0	0	0
seq3294	0	0	2	0	0
seq3295	0	0	3	1	0
seq3299	0	1	2	0	0
seq3303	0	0	2	0	1
seq3306	0	2	2	1	0
seq3310	0	0	2	0	1
seq3315	0	4	2	0	2
seq3317	0	1	2	0	1
seq3329	0	1	1	0	0
seq333	1	1	1	0	0
seq3333	0	1	1	0	0
seq3336	0	0	1	1	0
seq3338	0	2	1	1	2
seq334	1	1	0	0	0
seq3343	0	1	1	0	0
seq3346	0	2	1	1	1
seq3353	0	5	1	0	1
seq3357	0	4	1	1	0
seq3360	0	0	2	0	0
seq3365	0	2	1	0	0
seq3367	0	0	1	0	1
seq3377	0	0	2	0	0
seq3379	0	1	1	0	0
seq3381	0	5	1	1	0
seq3382	0	0	1	1	0
seq3386	0	1	1	0	0
seq3389	0	2	1	0	0
seq339	1	0	0	1	0
seq3390	0	0	2	0	0
seq3393	0	0	2	0	0
seq3395	0	0	3	0	0
seq3396	0	1	1	0	0
seq34	5	3	0	0	0
seq3405	0	1	1	0	0
seq341	2	2	0	0	0
seq3411	0	0	1	1	0
seq3413	0	0	1	0	1
seq3418	0	1	1	0	0
seq3419	0	0	2	0	0
seq342	3	0	2	0	0
seq3422	0	2	1	0	1
seq3425	0	0	1	0	1
seq3427	0	4	1	1	1
seq3431	0	0	2	0	0
seq3437	0	0	1	1	1
seq3453	0	0	1	0	1
seq3459	0	0	1	1	0
seq3462	0	0	2	3	0
seq347	2	1	0	1	0
seq3489	0	0	1	1	0
seq3498	0	0	3	1	0
seq3501	0	1	1	0	0
seq3503	0	0	1	2	0
seq3505	0	0	1	1	1
seq3509	0	1	1	0	0
seq3512	0	0	1	0	2
seq3516	0	0	2	2	0
seq352	1	0	1	1	0
seq3524	0	2	1	0	0
seq3526	0	0	2	0	0
seq3530	0	1	2	0	0
seq355	2	0	0	0	0
